manNum=50
womanNum=50
man1=40,35,27,38,41,2,47,30,14,25,8,20,16,50,17,36,18,13,21,29,7,15,34,44,32,37,49,5,31,42,33,10,45,48,19,22,23,28,11,43,39,12,9,46,1,3,6,26,24,4
man2=15,27,18,29,25,37,11,42,36,21,34,14,35,43,41,47,39,44,5,48,23,9,19,2,12,7,20,10,33,16,24,4,26,46,17,3,45,13,40,6,8,38,22,50,32,49,30,31,1,28
man3=2,29,47,5,21,43,16,23,33,20,50,44,39,30,32,36,3,14,9,31,27,49,48,6,15,22,41,24,40,11,34,8,12,18,1,13,45,35,25,37,4,38,10,46,7,26,17,19,42,28
man4=14,47,4,28,44,8,42,40,27,22,43,21,36,9,39,16,15,37,30,13,41,32,50,35,3,10,31,12,45,48,26,1,6,29,5,33,25,49,34,2,46,11,38,7,23,17,19,24,20,18
man5=49,43,5,42,38,33,20,10,30,12,7,23,1,31,28,24,50,34,2,6,29,25,13,9,37,21,3,32,14,41,48,45,18,8,35,22,4,47,44,19,40,15,39,16,46,36,17,11,27,26
man6=38,29,45,40,39,49,20,50,6,31,11,3,22,48,33,7,44,19,25,21,16,2,32,12,28,24,14,5,27,47,41,1,9,8,13,36,35,46,42,10,34,43,37,17,23,4,15,30,18,26
man7=24,16,33,9,30,12,35,48,6,36,44,19,42,7,4,41,26,43,1,2,8,38,18,37,47,49,39,50,32,21,5,27,22,15,34,31,29,10,40,23,46,14,25,3,45,11,28,20,13,17
man8=38,36,42,7,31,3,19,45,26,30,43,12,37,33,32,25,34,13,24,21,9,28,11,15,18,6,1,29,35,41,17,40,8,49,4,46,2,20,27,22,16,39,10,14,23,48,50,44,5,47
man9=8,28,33,31,47,15,36,4,30,1,34,37,50,25,2,14,24,45,10,42,41,3,32,16,48,13,19,38,27,49,39,6,43,12,22,18,23,26,17,5,21,9,7,44,35,11,40,20,29,46
man10=41,13,46,2,20,17,25,8,38,22,48,12,9,6,29,26,4,47,33,21,40,15,23,37,44,30,27,28,10,32,7,45,14,35,49,5,11,34,42,31,3,1,39,43,50,36,18,24,19,16
man11=1,19,41,21,18,11,37,7,42,8,47,5,12,49,45,43,31,9,10,33,23,34,32,26,3,39,29,30,22,24,48,44,38,16,13,17,40,36,28,15,50,4,35,25,27,20,2,6,14,46
man12=39,23,6,30,8,43,27,49,29,22,32,12,26,17,16,47,25,48,46,20,28,31,21,15,13,4,24,40,36,37,38,34,11,5,10,33,18,7,35,44,41,3,1,14,9,45,42,19,50,2
